jar,bytes,status,namespaces,namespace_count,has_en_us,has_ko_kr,classification,error
uti_afac-1.2.0+1.21.1-neoforge.jar,66038,ok,,0,False,False,no_target_language_file,
utilitarian-1.21.1-0.19.2.jar,623325,ok,utilitarian,1,True,False,en_only,
utilityvest-1.3.0.jar,223322,ok,utilityvest,1,True,False,en_only,
valhelsia_core-neoforge-1.21.1-1.1.5.jar,181277,ok,,0,False,False,no_target_language_file,
variantsandventures-neoforge-1.0.26+mc1.21.1.jar,1082397,ok,variantsandventures,1,True,False,en_only,
villagesandpillages-neoforge-mc1.21.1-1.0.3.jar,241257,ok,,0,False,False,no_target_language_file,
waystones-neoforge-1.21.1-21.1.34.jar,878801,ok,waystones,1,True,True,en_and_ko,
wirelesschargers-1.0.9a-neoforge-mc1.21.jar,315836,ok,wirelesschargers,1,True,True,en_and_ko,
WitherSkeletonTweaks-1.21.1-10.1.1.jar,21929,ok,wstweaks,1,True,True,en_and_ko,
wits-1.3.0+1.21-neoforge.jar,12231,ok,,0,False,False,no_target_language_file,
xnet-1.21-7.0.7.jar,611577,ok,xnet,1,True,True,en_and_ko,
xtonesreworked-1.1.1-1.21.1.jar,1276690,ok,xtonesreworked,1,True,False,en_only,
xycraft_core-0.7.53-all.jar,2327963,ok,xycraft_core,1,True,False,en_only,
xycraft_machines-0.7.53.jar,3056398,ok,xycraft_machines,1,True,False,en_only,
xycraft_override-0.7.53.jar,905075,ok,xycraft_override,1,True,False,en_only,
xycraft_world-0.7.53.jar,1224337,ok,xycraft_world,1,True,False,en_only,
yeetusexperimentus-neoforge-87.0.0.jar,570057,ok,,0,False,False,no_target_language_file,
yet_another_config_lib_v3-3.8.2+1.21.1-neoforge.jar,1118651,ok,yet_another_config_lib_v3,1,True,False,en_only,
YungsApi-1.21.1-NeoForge-5.1.6.jar,388678,ok,,0,False,False,no_target_language_file,
YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar,905839,ok,betterdeserttemples,1,True,False,en_only,
YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar,782160,ok,betterdungeons,1,True,False,en_only,
YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar,398130,ok,betterendisland,1,True,False,en_only,
YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar,795839,ok,betterjungletemples,1,True,False,en_only,
YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar,493967,ok,bettermineshafts,1,True,False,en_only,
YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar,609639,ok,betterfortresses,1,True,False,en_only,
YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar,1025571,ok,betteroceanmonuments,1,True,False,en_only,
YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar,461244,ok,betterstrongholds,1,True,False,en_only,
YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar,174789,ok,betterwitchhuts,1,True,False,en_only,
YungsExtras-1.21.1-NeoForge-5.1.1.jar,198183,ok,,0,False,False,no_target_language_file,
ZeroCore2-1.21.1-2.4.21.jar,1551013,ok,zerocore,1,True,False,en_only,
