jar,namespace,en_path,ko_path,en_status,ko_status,en_keys,ko_keys,shared_keys,missing_in_ko,ko_only_keys,error
jei-1.21.1-neoforge-19.50.0.414.jar,jei,assets/jei/lang/en_us.json,assets/jei/lang/ko_kr.json,ok,ok,312,150,149,163,1,
journeymap-neoforge-1.21.1-6.0.6.jar,journeymap,assets/journeymap/lang/en_us.json,assets/journeymap/lang/ko_kr.json,ok,ok,1397,1402,1371,26,31,
jupiter-2.3.7-1.21.1-neoforge.jar,jupiter,assets/jupiter/lang/en_us.json,,ok,missing,45,0,0,45,0,
justdirethings-1.5.7.jar,justdirethings,assets/justdirethings/lang/en_us.json,,ok,missing,488,0,0,488,0,
justenoughbreeding-neoforge-1.21.1-3.2.1.jar,justenoughbreeding,assets/justenoughbreeding/lang/en_us.json,,ok,missing,22,0,0,22,0,
JustEnoughMekanismMultiblocks-1.21.1-7.18.jar,jei_mekanism_multiblocks,assets/jei_mekanism_multiblocks/lang/en_us.json,assets/jei_mekanism_multiblocks/lang/ko_kr.json,ok,ok,84,80,80,4,0,
JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar,justenoughprofessions,assets/justenoughprofessions/lang/en_us.json,,ok,missing,1,0,0,1,0,
justzoom_neoforge_2.1.0_MC_1.21.1.jar,justzoom,assets/justzoom/lang/en_us.json,,ok,missing,29,0,0,29,0,
keybindbundles-1.4.0.jar,keybindbundles,assets/keybindbundles/lang/en_us.json,,ok,missing,26,0,0,26,0,
KeybindsPurger-1.4.0-neoforge-1.21.1.jar,keybindspurger,assets/keybindspurger/lang/en_us.json,,ok,missing,4,0,0,4,0,
kubejstweaks-1.0.6.jar,kubejstweaks,assets/kubejstweaks/lang/en_us.json,,ok,missing,4,0,0,4,0,
L_Ender's Cataclysm 1.21.1-3.33.jar,cataclysm,assets/cataclysm/lang/en_us.json,assets/cataclysm/lang/ko_kr.json,ok,ok,735,707,707,28,0,
laserbridges-1.21.1-neoforge-6.jar,laserbridges,assets/laserbridges/lang/en_us.json,,ok,missing,9,0,0,9,0,
laserio-1.9.11.jar,laserio,assets/laserio/lang/en_us.json,,ok,missing,95,0,0,95,0,
lionfishapi-3.1.jar,lionfishapi,assets/lionfishapi/lang/en_us.json,,ok,missing,4,0,0,4,0,
little-big-redstone-1.9.10-1.21.1.jar,little_big_redstone,assets/little_big_redstone/lang/en_us.json,,ok,missing,293,0,0,293,0,
livingthings-neoforge-1.21.1-2.3.1.jar,livingthings,assets/livingthings/lang/en_us.json,,ok,missing,106,0,0,106,0,
logisticsnetworks-1.21.1-1.13.0.jar,logisticsnetworks,assets/logisticsnetworks/lang/en_us.json,,ok,missing,454,0,0,454,0,
lootr-neoforge-1.21.1-1.11.38.124.jar,lootr,assets/lootr/lang/en_us.json,assets/lootr/lang/ko_kr.json,ok,ok,221,221,221,0,0,
luminax-1.3.1_neoforge_1.21.1.jar,luminax,assets/luminax/lang/en_us.json,,ok,missing,193,0,0,193,0,
mahoutsukai-1.21.1-v1.36.27.jar,mahoutsukai,assets/mahoutsukai/lang/en_us.json,assets/mahoutsukai/lang/ko_kr.json,ok,ok,1923,1864,1338,585,526,
mcjtylib-1.21-9.0.21.jar,mcjtylib,assets/mcjtylib/lang/en_us.json,,ok,missing,3,0,0,3,0,
mcw-bridges-3.1.2-mc1.21.1neoforge.jar,mcwbridges,assets/mcwbridges/lang/en_us.json,assets/mcwbridges/lang/ko_kr.json,ok,ok,156,156,156,0,0,
mcw-doors-1.1.5-mc1.21.1neoforge.jar,mcwdoors,assets/mcwdoors/lang/en_us.json,assets/mcwdoors/lang/ko_kr.json,ok,ok,288,287,287,1,0,
mcw-furniture-3.4.1-mc1.21.1neoforge.jar,mcwfurnitures,assets/mcwfurnitures/lang/en_us.json,assets/mcwfurnitures/lang/ko_kr.json,ok,ok,661,665,605,56,60,
mcw-holidays-1.1.2-mc1.21.1neoforge.jar,mcwholidays,assets/mcwholidays/lang/en_us.json,assets/mcwholidays/lang/ko_kr.json,ok,ok,338,336,336,2,0,
mcw-lights-1.1.5-mc1.21.1neoforge.jar,mcwlights,assets/mcwlights/lang/en_us.json,assets/mcwlights/lang/ko_kr.json,ok,ok,146,138,137,9,1,
mcw-mcwfences-1.2.1-mc1.21.1neoforge.jar,mcwfences,assets/mcwfences/lang/en_us.json,assets/mcwfences/lang/ko_kr.json,ok,ok,184,160,153,31,7,
mcw-mcwpaths-1.1.1-mc1.21.1neoforge.jar,mcwpaths,assets/mcwpaths/lang/en_us.json,,ok,missing,318,0,0,318,0,
mcw-mcwstairs-1.0.2-mc1.21.1neoforge.jar,mcwstairs,assets/mcwstairs/lang/en_us.json,assets/mcwstairs/lang/ko_kr.json,ok,ok,228,228,228,0,0,
mcw-mcwwindows-2.4.2-mc1.21.1neoforge.jar,mcwwindows,assets/mcwwindows/lang/en_us.json,assets/mcwwindows/lang/ko_kr.json,ok,ok,326,326,326,0,0,
mcw-roofs-2.3.2-mc1.21.1neoforge.jar,mcwroofs,assets/mcwroofs/lang/en_us.json,,ok,missing,610,0,0,610,0,
mcw-trapdoors-1.1.5-mc1.21.1neoforge.jar,mcwtrpdoors,assets/mcwtrpdoors/lang/en_us.json,assets/mcwtrpdoors/lang/ko_kr.json,ok,error,201,0,0,201,0,"assets/mcwtrpdoors/lang/ko_kr.json: JSONDecodeError: Expecting ',' delimiter: line 120 column 2 (char 6386)"
Measurements-neoforge-1.21.1-3.0.3.jar,measurements,assets/measurements/lang/en_us.json,,ok,missing,15,0,0,15,0,
megacells-4.11.0.jar,megacells,assets/megacells/lang/en_us.json,,ok,missing,134,0,0,134,0,
Mekanism-1.21.1-10.7.19.85.jar,mekanism,assets/mekanism/lang/en_us.json,assets/mekanism/lang/ko_kr.json,ok,ok,3239,1824,1821,1418,3,
mekanismcovers-1.3-BETA+1.21.jar,mekanismcovers,assets/mekanismcovers/lang/en_us.json,,ok,missing,3,0,0,3,0,
MekanismGenerators-1.21.1-10.7.19.85.jar,mekanismgenerators,assets/mekanismgenerators/lang/en_us.json,assets/mekanismgenerators/lang/ko_kr.json,ok,ok,364,211,211,153,0,
MekanismTools-1.21.1-10.7.19.85.jar,mekanismtools,assets/mekanismtools/lang/en_us.json,assets/mekanismtools/lang/ko_kr.json,ok,ok,800,185,185,615,0,
mekanisticrouters-1.2.0.jar,mekanisticrouters,assets/mekanisticrouters/lang/en_us.json,,ok,missing,13,0,0,13,0,
mekmm-1.21.1-1.4.1.jar,mekmm,assets/mekmm/lang/en_us.json,,ok,missing,702,0,0,702,0,
memorysettings-1.21-6.0.jar,memorysettings,assets/memorysettings/lang/en_us.json,,ok,missing,8,0,0,8,0,
merequester-neoforge-1.21.1-1.4.3.jar,merequester,assets/merequester/lang/en_us.json,,ok,missing,27,0,0,27,0,
