path,namespace,locale,keys,status,error
kubejs/assets/iron_furnaces/lang/pt_br.json,iron_furnaces,pt_br,143,ok,
kubejs/assets/iron_furnaces/lang/ru_ru.json,iron_furnaces,ru_ru,143,ok,
kubejs/assets/irons_jewelry/lang/pt_br.json,irons_jewelry,pt_br,262,ok,
kubejs/assets/irons_jewelry/lang/ru_ru.json,irons_jewelry,ru_ru,220,ok,
kubejs/assets/item_collectors/lang/pt_br.json,item_collectors,pt_br,15,ok,
kubejs/assets/kubejs/lang/en_us.json,kubejs,en_us,78,ok,
kubejs/assets/kubejs/lang/ja_jp.json,kubejs,ja_jp,78,ok,
kubejs/assets/kubejs/lang/pt_br.json,kubejs,pt_br,78,ok,
kubejs/assets/kubejs/lang/zh_cn.json,kubejs,zh_cn,78,ok,
kubejs/assets/l_enders_cataclysm/lang/pt_br.json,l_enders_cataclysm,pt_br,735,ok,
kubejs/assets/living_things/lang/pt_br.json,living_things,pt_br,106,ok,
kubejs/assets/living_things/lang/ru_ru.json,living_things,ru_ru,106,ok,
kubejs/assets/mcjtylib/lang/pt_br.json,mcjtylib,pt_br,3,ok,
kubejs/assets/mffs/lang/ru_ru.json,mffs,ru_ru,181,ok,
kubejs/assets/mining_gadgets/lang/pt_br.json,mining_gadgets,pt_br,85,ok,
kubejs/assets/mining_gadgets/lang/ru_ru.json,mining_gadgets,ru_ru,85,ok,
kubejs/assets/mob_grinding_utils/lang/pt_br.json,mob_grinding_utils,pt_br,146,ok,
kubejs/assets/mob_grinding_utils/lang/ru_ru.json,mob_grinding_utils,ru_ru,146,ok,
kubejs/assets/modern_industrialization/lang/en_us.json,modern_industrialization,en_us,1785,ok,
kubejs/assets/modern_industrialization/lang/ja_jp.json,modern_industrialization,ja_jp,22,ok,
kubejs/assets/modern_industrialization/lang/pt_br.json,modern_industrialization,pt_br,1785,ok,
kubejs/assets/modern_industrialization/lang/zh_cn.json,modern_industrialization,zh_cn,22,ok,
kubejs/assets/modular_routers/lang/pt_br.json,modular_routers,pt_br,371,ok,
kubejs/assets/more_red/lang/pt_br.json,more_red,pt_br,51,ok,
kubejs/assets/multipiston/lang/ru_ru.json,multipiston,ru_ru,2,ok,
kubejs/assets/natures_aura/lang/pt_br.json,natures_aura,pt_br,242,ok,
kubejs/assets/natures_aura/lang/ru_ru.json,natures_aura,ru_ru,242,ok,
kubejs/assets/pams_harvestcraft_2_crops/lang/pt_br.json,pams_harvestcraft_2_crops,pt_br,320,ok,
kubejs/assets/pams_harvestcraft_2_fantasy/lang/pt_br.json,pams_harvestcraft_2_fantasy,pt_br,25,ok,
kubejs/assets/pams_harvestcraft_2_food_core/lang/pt_br.json,pams_harvestcraft_2_food_core,pt_br,203,ok,
kubejs/assets/pams_harvestcraft_2_food_extended/lang/pt_br.json,pams_harvestcraft_2_food_extended,pt_br,872,ok,
kubejs/assets/pams_harvestcraft_2_trees/lang/pt_br.json,pams_harvestcraft_2_trees,pt_br,158,ok,
kubejs/assets/ping_wheel/lang/ru_ru.json,ping_wheel,ru_ru,38,ok,
kubejs/assets/pneumaticcraft_repressurized/lang/pt_br.json,pneumaticcraft_repressurized,pt_br,2271,ok,
kubejs/assets/potions_master/lang/pt_br.json,potions_master,pt_br,15,ok,
kubejs/assets/powa/lang/pt_br.json,powa,pt_br,190,ok,
kubejs/assets/rechiseled/lang/pt_br.json,rechiseled,pt_br,3656,ok,
kubejs/assets/rechiseled/lang/ru_ru.json,rechiseled,ru_ru,13,ok,
kubejs/assets/rechiseled_create/lang/pt_br.json,rechiseled_create,pt_br,187,ok,
kubejs/assets/refinedtypes/lang/ru_ru.json,refinedtypes,ru_ru,148,ok,
kubejs/assets/regions_unexplored/lang/pt_br.json,regions_unexplored,pt_br,937,ok,
kubejs/assets/regions_unexplored/lang/ru_ru.json,regions_unexplored,ru_ru,836,ok,
kubejs/assets/relics/lang/pt_br.json,relics,pt_br,547,ok,
kubejs/assets/reliquified_artifacts/lang/pt_br.json,reliquified_artifacts,pt_br,572,ok,
kubejs/assets/restrictions/lang/pt_br.json,restrictions,pt_br,12,ok,
kubejs/assets/restrictions/lang/ru_ru.json,restrictions,ru_ru,12,ok,
kubejs/assets/rftools_base/lang/pt_br.json,rftools_base,pt_br,55,ok,
kubejs/assets/rftools_builder/lang/pt_br.json,rftools_builder,pt_br,97,ok,
kubejs/assets/rftools_power/lang/pt_br.json,rftools_power,pt_br,65,ok,
kubejs/assets/rftools_storage/lang/pt_br.json,rftools_storage,pt_br,41,ok,
kubejs/assets/rftools_utility/lang/pt_br.json,rftools_utility,pt_br,242,ok,
kubejs/assets/sawmill/lang/pt_br.json,sawmill,pt_br,7,ok,
kubejs/assets/sawmill/lang/ru_ru.json,sawmill,ru_ru,8,ok,
kubejs/assets/shrink/lang/pt_br.json,shrink,pt_br,7,ok,
kubejs/assets/shrink/lang/ru_ru.json,shrink,ru_ru,12,ok,
kubejs/assets/silent_gear/lang/pt_br.json,silent_gear,pt_br,1191,ok,
kubejs/assets/silent_gems/lang/pt_br.json,silent_gems,pt_br,118,ok,
kubejs/assets/silentlib/lang/pt_br.json,silentlib,pt_br,5,ok,
kubejs/assets/sophisticatedcore/lang/ru_ru.json,sophisticatedcore,ru_ru,282,ok,
kubejs/assets/sophisticatedstorage/lang/ru_ru.json,sophisticatedstorage,ru_ru,294,ok,
kubejs/assets/sophisticatedstorageinmotion/lang/ru_ru.json,sophisticatedstorageinmotion,ru_ru,8,ok,
kubejs/assets/structurize/lang/ru_ru.json,structurize,ru_ru,229,ok,
kubejs/assets/tempad/lang/pt_br.json,tempad,pt_br,164,ok,
kubejs/assets/the_bumblezone/lang/pt_br.json,the_bumblezone,pt_br,1788,ok,
kubejs/assets/the_bumblezone/lang/ru_ru.json,the_bumblezone,ru_ru,1756,ok,
kubejs/assets/tombstone/lang/ru_ru.json,tombstone,ru_ru,1233,ok,
kubejs/assets/trashcans/lang/ru_ru.json,trashcans,ru_ru,32,ok,
kubejs/assets/trofers/lang/pt_br.json,trofers,pt_br,19,ok,
kubejs/assets/trophymanager/lang/pt_br.json,trophymanager,pt_br,2,ok,
kubejs/assets/trophymanager/lang/ru_ru.json,trophymanager,ru_ru,2,ok,
kubejs/assets/twilightforest/lang/pt_br.json,twilightforest,pt_br,1890,ok,
kubejs/assets/undergarden/lang/pt_br.json,undergarden,pt_br,679,ok,
kubejs/assets/undergarden/lang/ru_ru.json,undergarden,ru_ru,673,ok,
kubejs/assets/utility_vest/lang/pt_br.json,utility_vest,pt_br,36,ok,
kubejs/assets/utility_vest/lang/ru_ru.json,utility_vest,ru_ru,24,ok,
kubejs/assets/xnet/lang/pt_br.json,xnet,pt_br,186,ok,
kubejs/assets/xtonesreworked/lang/pt_br.json,xtonesreworked,pt_br,547,ok,
kubejs/assets/xycraft_core/lang/pt_br.json,xycraft_core,pt_br,106,ok,
kubejs/assets/xycraft_core/lang/ru_ru.json,xycraft_core,ru_ru,106,ok,
kubejs/assets/xycraft_machines/lang/pt_br.json,xycraft_machines,pt_br,225,ok,
kubejs/assets/xycraft_machines/lang/ru_ru.json,xycraft_machines,ru_ru,225,ok,
kubejs/assets/xycraft_override/lang/pt_br.json,xycraft_override,pt_br,135,ok,
kubejs/assets/xycraft_override/lang/ru_ru.json,xycraft_override,ru_ru,135,ok,
kubejs/assets/xycraft_world/lang/pt_br.json,xycraft_world,pt_br,324,ok,
kubejs/assets/xycraft_world/lang/ru_ru.json,xycraft_world,ru_ru,324,ok,
kubejs/assets/yet_another_config_lib_v3/lang/pt_br.json,yet_another_config_lib_v3,pt_br,26,ok,
kubejs/assets/youre_grave_danger/lang/pt_br.json,youre_grave_danger,pt_br,261,ok,
kubejs/assets/yungs_better_desert_temples/lang/pt_br.json,yungs_better_desert_temples,pt_br,13,ok,
kubejs/assets/yungs_better_dungeons/lang/pt_br.json,yungs_better_dungeons,pt_br,86,ok,
kubejs/assets/yungs_better_end_island/lang/pt_br.json,yungs_better_end_island,pt_br,13,ok,
kubejs/assets/yungs_better_jungle_temples/lang/pt_br.json,yungs_better_jungle_temples,pt_br,16,ok,
kubejs/assets/yungs_better_mineshafts/lang/pt_br.json,yungs_better_mineshafts,pt_br,60,ok,
kubejs/assets/yungs_better_nether_fortresses/lang/pt_br.json,yungs_better_nether_fortresses,pt_br,9,ok,
kubejs/assets/yungs_better_ocean_monuments/lang/pt_br.json,yungs_better_ocean_monuments,pt_br,9,ok,
kubejs/assets/yungs_better_strongholds/lang/pt_br.json,yungs_better_strongholds,pt_br,18,ok,
kubejs/assets/yungs_better_witch_huts/lang/pt_br.json,yungs_better_witch_huts,pt_br,9,ok,
